 title=Umag
 variables=x,y,Umag
 zone i=          21 ,j=          21
   3.9473684210526317E-003   1.4473684210526314E-002   1.2092575712895484E+045
   6.5789473684210523E-003   1.4473684210526314E-002   2.5881713743268160E+047
   9.2105263157894728E-003   1.4473684210526314E-002   8.8532499590900150E+045
   1.1842105263157893E-002   1.4473684210526314E-002   2.7813619511274567E+034
   1.4473684210526314E-002   1.4473684210526314E-002   2.1550263902284118E+034
   1.7105263157894735E-002   1.4473684210526314E-002   4.3491144065492950E+034
   1.9736842105263157E-002   1.4473684210526314E-002   2.4744288443786472E+034
   2.2368421052631579E-002   1.4473684210526314E-002   9.1441415575326112E+033
   2.5000000000000001E-002   1.4473684210526314E-002   1.6801011629008258E+038
   2.7631578947368424E-002   1.4473684210526314E-002   1.0334811644445857E+039
   3.0263157894736846E-002   1.4473684210526314E-002   5.6087114342251395E+038
